               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.054789,            0.023668,           0.0055717,             0.80487,             0.52326,             0.61756,              0.2886,            0.052688,             0.01142,           0.0028732,           0.0024621,           0.0024621,            0.069262
                  37,            0.054721,            0.021961,           0.0054845,             0.79219,              0.4695,             0.58412,             0.27114,            0.053671,            0.011446,           0.0028393,           0.0024849,           0.0024849,            0.068385
                  38,            0.052446,            0.021599,           0.0047815,             0.91324,             0.50911,             0.66196,             0.32152,            0.044569,            0.011498,           0.0026519,           0.0025048,           0.0025048,            0.067505
                  39,            0.051041,            0.020288,           0.0050339,             0.87682,             0.52786,             0.66057,             0.36315,             0.03928,            0.011759,           0.0026619,           0.0025217,           0.0025217,            0.066622
                  40,            0.051601,            0.022959,            0.004043,             0.76344,             0.52844,             0.53458,             0.25244,            0.046498,             0.01176,           0.0026555,           0.0025357,           0.0025357,            0.065736
                  41,            0.050542,            0.022007,           0.0039239,              0.9415,             0.55447,             0.68737,              0.4058,            0.043588,            0.011611,           0.0026704,           0.0025468,           0.0025468,            0.064847
                  42,            0.051098,            0.021638,           0.0049679,              0.8689,             0.51184,              0.7024,             0.37301,            0.042261,            0.011544,            0.002573,            0.002555,            0.002555,            0.063955
                  43,            0.049074,            0.020115,           0.0034069,             0.78682,              0.5394,             0.56251,              0.2692,            0.046018,            0.011491,           0.0026069,           0.0025602,           0.0025602,             0.06306
                  44,            0.048941,            0.021731,           0.0047849,               0.902,             0.57231,             0.64571,             0.34448,            0.038946,             0.01086,           0.0026217,           0.0025627,           0.0025627,            0.062163
                  45,            0.045152,            0.019663,           0.0041999,             0.87436,             0.57338,             0.66328,             0.33271,            0.038703,             0.01083,           0.0025622,           0.0025622,           0.0025622,            0.061262
                  46,            0.044574,            0.022473,           0.0040034,             0.82711,             0.56643,             0.74469,             0.35347,            0.042317,            0.011197,           0.0023583,            0.002559,            0.002559,            0.060359
                  47,            0.046954,            0.023913,           0.0045536,             0.30163,             0.99471,             0.62006,              0.2692,            0.046621,            0.011611,            0.002109,            0.002553,            0.002553,            0.059453
                  48,            0.052192,            0.022532,           0.0036603,             0.77017,             0.56391,             0.70489,             0.34841,            0.046602,              0.0111,              0.0022,           0.0025443,           0.0025443,            0.058544
                  49,            0.051379,            0.019298,           0.0052385,             0.46946,             0.92804,             0.77105,             0.39441,             0.04274,            0.010559,           0.0025168,            0.002533,            0.002533,            0.057633
                  50,            0.046902,            0.020623,           0.0038098,             0.47862,             0.86667,             0.78783,             0.41516,            0.039962,            0.010294,           0.0024591,            0.002519,            0.002519,            0.056719
                  51,            0.046943,            0.020592,           0.0047354,             0.37739,             0.92804,             0.73776,             0.33846,            0.046334,            0.010378,           0.0023787,           0.0025025,           0.0025025,            0.055802
                  52,            0.051277,            0.018479,            0.004263,             0.44553,             0.92685,             0.80933,             0.38192,            0.039857,             0.01032,           0.0023567,           0.0024835,           0.0024835,            0.054884
                  53,            0.046965,            0.019241,           0.0046755,             0.44193,             0.92655,             0.80163,              0.4269,            0.043773,            0.010213,            0.002266,           0.0024621,           0.0024621,            0.053962
                  54,            0.046608,            0.020193,           0.0040759,             0.43073,             0.99157,             0.76575,             0.38085,            0.042348,            0.010325,           0.0022678,           0.0024384,           0.0024384,            0.053038
                  55,            0.051649,            0.019694,           0.0034363,             0.51714,                   1,             0.88787,             0.50845,            0.036265,            0.010112,           0.0023443,           0.0024124,           0.0024124,            0.052112
                  56,             0.04386,            0.019704,           0.0038875,             0.58702,                   1,             0.90147,             0.44303,            0.035161,            0.010051,           0.0023215,           0.0023843,           0.0023843,            0.051184
                  57,            0.046897,            0.019971,           0.0035321,             0.57149,                   1,             0.92339,             0.40782,             0.03954,            0.010056,           0.0021597,           0.0023541,           0.0023541,            0.050254
                  58,            0.051523,            0.019552,           0.0035375,             0.61099,                   1,             0.87145,             0.56104,            0.036221,           0.0098548,            0.002162,           0.0023219,           0.0023219,            0.049322
                  59,            0.045044,            0.019604,           0.0032568,             0.58541,             0.99838,             0.90295,             0.41626,            0.045758,            0.010139,           0.0022249,           0.0022878,           0.0022878,            0.048388
                  60,            0.048026,            0.021218,           0.0031618,             0.61348,                   1,             0.91721,             0.56039,            0.034274,           0.0098935,           0.0021633,            0.002252,            0.002252,            0.047452
                  61,            0.040094,            0.020068,           0.0031679,              0.6565,             0.98868,             0.97213,             0.60309,             0.03478,           0.0098316,           0.0021226,           0.0022145,           0.0022145,            0.046514
                  62,            0.044589,            0.019914,            0.003357,             0.70833,                   1,             0.97877,             0.63365,            0.030029,           0.0095123,           0.0021462,           0.0021754,           0.0021754,            0.045575
                  63,            0.041281,             0.01956,           0.0033379,             0.59645,                   1,             0.93687,             0.43612,            0.035602,           0.0097569,           0.0020776,           0.0021349,           0.0021349,            0.044635
                  64,            0.042486,            0.020333,           0.0035413,             0.62347,             0.97265,             0.94663,             0.67076,            0.034114,           0.0095308,           0.0019823,           0.0020931,           0.0020931,            0.043693
                  65,            0.039446,            0.018944,           0.0029334,             0.72945,             0.98512,             0.95969,             0.55774,            0.028033,           0.0095921,           0.0019889,             0.00205,             0.00205,             0.04275
                  66,            0.038896,            0.018062,           0.0032394,             0.60981,             0.99694,             0.93626,             0.53801,            0.034794,           0.0094141,           0.0019575,           0.0020059,           0.0020059,            0.041806
                  67,             0.04212,            0.019068,           0.0033138,             0.58007,                   1,             0.84212,             0.53673,            0.032955,            0.009338,           0.0019182,           0.0019609,           0.0019609,            0.040861
                  68,            0.041793,            0.019356,           0.0028999,             0.58056,             0.79726,             0.75785,             0.39257,            0.035145,           0.0093877,           0.0019224,            0.001915,            0.001915,            0.039915
                  69,            0.037296,            0.019698,           0.0030196,             0.69609,             0.86342,             0.88716,             0.46465,            0.031038,           0.0092677,           0.0018407,           0.0018685,           0.0018685,            0.038969
                  70,            0.036664,            0.018474,           0.0027643,              0.6205,                   1,             0.85633,             0.53292,            0.027311,           0.0091167,           0.0017507,           0.0018215,           0.0018215,            0.038021
                  71,            0.038768,            0.018334,           0.0031969,             0.57246,              0.9309,             0.79454,             0.46919,            0.034098,           0.0090864,           0.0017773,            0.001774,            0.001774,            0.037074
                  72,            0.037158,            0.019675,            0.003123,             0.81192,             0.93305,             0.87134,             0.56314,            0.027338,           0.0086088,           0.0018496,           0.0017263,           0.0017263,            0.036126
                  73,            0.037812,             0.02046,           0.0031016,             0.76359,             0.92723,             0.91022,             0.49031,            0.032525,           0.0091138,           0.0018504,           0.0016785,           0.0016785,            0.035179
                  74,            0.043173,            0.020167,           0.0025729,             0.60632,             0.93333,             0.80711,              0.4147,            0.034511,           0.0091741,           0.0018253,           0.0016308,           0.0016308,            0.034231
                  75,            0.036839,            0.019081,           0.0025136,              0.7381,             0.92694,             0.87926,              0.4798,            0.030587,           0.0092059,           0.0018199,           0.0015832,           0.0015832,            0.033283
                  76,            0.039028,            0.017641,           0.0026802,             0.74058,             0.99036,             0.88898,             0.52494,            0.028946,           0.0089148,           0.0018366,            0.001536,            0.001536,            0.032336
                  77,            0.032347,            0.018396,           0.0029526,             0.75044,                   1,              0.8624,             0.54837,             0.02723,            0.009009,           0.0017497,           0.0014893,           0.0014893,            0.031389
                  78,            0.034868,            0.018801,           0.0025105,             0.74831,                   1,             0.88729,             0.60305,            0.029441,           0.0089414,           0.0017303,           0.0014432,           0.0014432,            0.030443
                  79,            0.037714,             0.01824,            0.002314,             0.75113,             0.99194,             0.89691,             0.60189,            0.026767,           0.0087053,            0.001729,            0.001398,            0.001398,            0.029498
                  80,            0.032082,            0.019522,            0.002241,             0.81784,              0.9995,             0.91833,             0.61424,            0.025002,           0.0085343,           0.0016976,           0.0013537,           0.0013537,            0.028554
                  81,            0.029502,            0.017993,           0.0023706,             0.86353,             0.93276,             0.98058,             0.68761,            0.024948,           0.0085819,           0.0016154,           0.0013105,           0.0013105,             0.02761
                  82,            0.031439,            0.017232,           0.0024766,             0.75581,             0.93333,             0.95362,             0.56451,            0.034188,           0.0090461,           0.0015569,           0.0012686,           0.0012686,            0.026669
                  83,            0.035319,            0.018214,           0.0021917,             0.84456,             0.92878,             0.97274,             0.64304,            0.029713,           0.0085535,           0.0015708,           0.0012281,           0.0012281,            0.025728
                  84,            0.033836,            0.018697,           0.0026184,             0.74493,                   1,             0.94051,             0.56006,            0.027231,           0.0086312,           0.0015426,           0.0011893,           0.0011893,            0.024789
                  85,            0.032601,            0.015756,           0.0023222,             0.92273,             0.93333,             0.97532,             0.67062,            0.024754,           0.0082462,           0.0015207,           0.0011521,           0.0011521,            0.023852
                  86,             0.02825,            0.017539,            0.002144,             0.89178,             0.99767,             0.99267,             0.75044,            0.024494,           0.0082571,           0.0014627,           0.0011169,           0.0011169,            0.022917
                  87,             0.02926,            0.017097,           0.0019961,             0.90859,             0.99693,             0.99438,             0.71482,            0.024132,           0.0082863,           0.0013836,           0.0010838,           0.0010838,            0.021984
                  88,            0.032913,            0.019397,           0.0022938,             0.87096,             0.93266,             0.98045,             0.73263,            0.024225,           0.0081043,           0.0013758,           0.0010528,           0.0010528,            0.021053
                  89,            0.034023,            0.018966,           0.0019779,             0.77667,             0.98926,             0.97805,             0.62302,            0.025679,           0.0084314,           0.0013607,           0.0010242,           0.0010242,            0.020124
                  90,            0.031548,            0.016555,           0.0022112,             0.89562,             0.92804,             0.97164,             0.58016,            0.024858,           0.0081515,           0.0013442,          0.00099816,          0.00099816,            0.019198
                  91,            0.028821,            0.017619,           0.0019471,             0.96909,             0.92804,             0.97575,             0.59793,            0.023038,           0.0079732,           0.0013084,          0.00097477,          0.00097477,            0.018275
                  92,            0.030324,            0.016918,           0.0025679,             0.95809,             0.92804,             0.97556,             0.61711,            0.023555,           0.0080773,           0.0013063,          0.00095419,          0.00095419,            0.017354
                  93,            0.031995,            0.018106,           0.0031774,             0.83382,             0.99471,             0.96461,             0.67105,            0.026862,           0.0082044,           0.0012898,          0.00093658,          0.00093658,            0.016437
                  94,            0.030737,            0.017908,           0.0021025,             0.86436,             0.99471,             0.98173,             0.71678,            0.023531,           0.0080961,           0.0012851,          0.00092207,          0.00092207,            0.015522
                  95,            0.029354,            0.017664,           0.0019573,             0.87066,             0.99694,             0.96242,             0.65006,            0.023724,           0.0078983,           0.0012759,          0.00091081,          0.00091081,            0.014611
                  96,            0.029132,             0.01655,           0.0020347,              0.8542,             0.99404,             0.96171,             0.68738,            0.020311,           0.0077753,             0.00127,          0.00090294,          0.00090294,            0.013703
                  97,            0.027376,             0.01485,           0.0018047,             0.81735,             0.99243,             0.94676,             0.67592,            0.023468,           0.0081678,           0.0012452,          0.00089859,          0.00089859,            0.012799
                  98,             0.03008,            0.017037,           0.0018829,             0.87551,             0.99748,             0.94903,              0.7172,            0.019994,           0.0078911,           0.0012519,           0.0008979,           0.0008979,            0.011898
                  99,            0.031669,            0.015479,           0.0020899,             0.77014,             0.99134,             0.91932,             0.61893,            0.028774,           0.0078397,           0.0012322,            0.000901,            0.000901,            0.011001
